ID,OfficialViols,AEP,RepairCount,RepairCost,ClassB_count,ClassB,ClassC_count,ClassC,SumViols,ViolsDiff
23264,,,2,1465,33,33,3,3,36,
23265,,,3,84,4,4,,,4,
23266,,,2,180,23,23,9,9,32,
23267,,,1,850,,,,,0,
23268,,,2,3599.26,6,6,1,1,7,
23269,,,1,950,7,7,5,5,12,
23270,,,6,3351,2,2,,,2,
23271,,,4,4616,98,98,27,27,125,
23272,,,1,1693.82,9,9,4,4,13,
23273,,,1,71.25,,,,,0,
23274,,,1,114,2,2,1,1,3,
23275,,,5,1145,50,50,25,25,75,
23276,,,1,875,3,3,2,2,5,
23277,,,1,259,16,16,3,3,19,
23278,,,6,4206,44,44,13,13,57,
23279,,,1,50,20,20,5,5,25,
23280,,,6,3933.75,38,38,12,12,50,
23281,,,1,191,22,22,5,5,27,
23282,,,5,3714,20,20,6,6,26,
23283,,,2,1449,14,14,7,7,21,
23284,,,2,170,53,53,5,5,58,
23285,,,1,160,7,7,3,3,10,
23286,,,4,1942,4,4,2,2,6,
23287,,,2,1221.75,8,8,7,7,15,
23288,,,11,11888,68,68,15,15,83,
23289,,,1,2400,66,66,10,10,76,
23290,,,1,380,,,,,0,
23291,,,2,1699,66,66,49,49,115,
23292,,,3,1739.44,,,,,0,
23293,,,1,538,58,58,6,6,64,
23294,,,1,533,31,31,7,7,38,
23295,,,1,50,26,26,5,5,31,
23296,,,1,499,2,2,3,3,5,
23297,,,12,16177.5,30,30,12,12,42,
23298,,,2,46000,,,,,0,
23299,,,4,158000,,,,,0,
23300,,,1,150,1,1,1,1,2,
23301,,,1,390,4,4,4,4,8,
23302,,,3,1513,1,1,2,2,3,
23303,,,1,7463.25,31,31,9,9,40,
23304,,,1,15,,,,,0,
23305,,,2,51,10,10,5,5,15,
23306,,,5,6593,8,8,5,5,13,
23307,,,3,804,8,8,3,3,11,
23308,,,18,10604.36,59,59,8,8,67,
23309,,,2,18,6,6,8,8,14,
23310,,,5,2277.5,13,13,8,8,21,
23311,,,1,647,16,16,4,4,20,
23312,,,1,250,,,,,0,
23313,,,2,395,,,,,0,
23314,,,1,37444,,,,,0,
23315,,,2,1075,6,6,3,3,9,
23316,,,5,3026.4,,,,,0,
23317,,,2,78572,,,,,0,
23318,,,13,8746.75,304,304,103,103,407,
23319,,,5,2153.75,30,30,5,5,35,
23320,,,2,17.4,21,21,2,2,23,
23321,,,1,44,30,30,5,5,35,
23322,,,4,7259,48,48,10,10,58,
23323,,,3,1917.5,25,25,3,3,28,
23324,,,1,448,2,2,1,1,3,
23325,,,2,549,1,1,1,1,2,
23326,,,4,2367,157,157,18,18,175,
23327,,,1,975,4,4,,,4,
23328,,,9,5286.5,20,20,27,27,47,
23329,,,6,6212,9,9,6,6,15,
23330,,,1,15,11,11,3,3,14,
23331,,,1,380,4,4,2,2,6,
23332,,,1,179,3,3,,,3,
23333,,,2,1000,24,24,16,16,40,
23334,,,1,1,,,,,0,
23335,,,1,380,32,32,2,2,34,
23336,,,2,803.75,120,120,13,13,133,
23337,,,1,190,4,4,,,4,
23338,,,3,58.25,5,5,16,16,21,
23339,,,4,630.25,11,11,4,4,15,
23340,,,4,26390,35,35,3,3,38,
23341,,,1,649,1,1,,,1,
23342,,,2,1510,38,38,4,4,42,
23343,,,1,50,13,13,1,1,14,
23344,,,1,790,33,33,5,5,38,
23345,,,2,66,1,1,1,1,2,
23346,,,1,100,19,19,5,5,24,
23347,,,1,1121,6,6,3,3,9,
23348,,,2,1661.25,,,,,0,
23349,,,1,450,26,26,4,4,30,
23350,,,8,2062.75,10,10,3,3,13,
23351,,,1,50,7,7,9,9,16,
23352,,,10,5283.15,121,121,31,31,152,
23353,,,3,4690,20,20,2,2,22,
23354,,,3,48.75,37,37,7,7,44,
23355,,,11,11,,,,,0,
23356,,,5,3021,14,14,7,7,21,
23357,,,3,2515,50,50,23,23,73,
23358,,,1,455,20,20,,,20,
23359,,,4,853.23,8,8,9,9,17,
23360,,,15,6190.75,125,125,49,49,174,
23361,,,1,21,1,1,2,2,3,
23362,,,3,22.5,2,2,,,2,
23363,,,3,3340,8,8,3,3,11,
23364,,,2,78.3,4,4,,,4,
23365,,,1,50,6,6,2,2,8,
23366,,,1,290,12,12,2,2,14,
23367,,,1,699,6,6,2,2,8,
23368,,,1,402,36,36,7,7,43,
23369,,,1,435,1,1,,,1,
23370,,,5,70553,,,,,0,
23371,,,3,1675,24,24,6,6,30,
23372,,,1,395,37,37,6,6,43,
23373,,,1,544,,,2,2,2,
23374,,,1,458.97,4,4,1,1,5,
23375,,,1,395,10,10,1,1,11,
23376,,,1,1295,9,9,3,3,12,
23377,,,1,1,16,16,3,3,19,
23378,,,1,245,3,3,,,3,
23379,,,5,2662,1,1,5,5,6,
23380,,,1,290,18,18,7,7,25,
23381,,,1,2290,,,,,0,
23382,,,2,551,,,,,0,
23383,,,1,70,23,23,2,2,25,
23384,,,1,50,2,2,7,7,9,
23385,,,1,1670,2,2,,,2,
23386,,,1,839,6,6,2,2,8,
23387,,,1,2911,14,14,3,3,17,
23388,,,3,94,5,5,8,8,13,
23389,,,1,895,36,36,,,36,
23390,,,1,21.25,1,1,,,1,
23391,,,2,70,,,4,4,4,
23392,,,2,70.56,12,12,4,4,16,
23393,,,1,47300,1,1,,,1,
23394,,,1,71590,3,3,,,3,
23395,,,1,1,13,13,,,13,
23396,,,1,990,5,5,2,2,7,
23397,,,1,50,16,16,3,3,19,
23398,,,4,1491,14,14,4,4,18,
23399,,,1,15,14,14,1,1,15,
23400,,,1,18.75,3,3,,,3,
23401,,,2,216.25,28,28,5,5,33,
23402,,,3,1517,56,56,24,24,80,
23403,,,1,100,35,35,5,5,40,
23404,,,3,765,,,,,0,
23405,,,2,740,37,37,10,10,47,
23406,,,2,100,7,7,7,7,14,
23407,,,1,813,17,17,15,15,32,
23408,,,1,50,13,13,2,2,15,
23409,,,1,270,6,6,4,4,10,
23410,,,1,480,7,7,6,6,13,
23411,,,2,95.43,,,9,9,9,
23412,,,15,3244.9,,,2,2,2,
23413,,,4,14171.05,8,8,1,1,9,
23414,,,1,982,17,17,5,5,22,
23415,,,1,1,,,4,4,4,
23416,,,1,598,,,,,0,
23417,,,1,388,6,6,,,6,
23418,,,8,2737.85,18,18,8,8,26,
23419,,,1,199,34,34,2,2,36,
23420,,,21,13028.91,32,32,14,14,46,
23421,,,3,1994,,,,,0,
23422,,,36,602586.49,90,90,47,47,137,
23423,,,1,678,,,,,0,
23424,,,2,2794,8,8,3,3,11,
23425,,,1,3659,3,3,3,3,6,
23426,,,2,874,19,19,6,6,25,
23427,,,7,7,3,3,1,1,4,
23428,,,3,45,9,9,,,9,
23429,,,3,460.56,2,2,,,2,
23430,,,3,1460,110,110,11,11,121,
23431,,,3,72,10,10,10,10,20,
23432,,,1,980,13,13,2,2,15,
23433,,,1,50,4,4,,,4,
23434,,,1,1650,7,7,1,1,8,
23435,,,1,425,,,,,0,
23436,,,1,425,,,,,0,
23437,,,1,1850,3,3,,,3,
23438,,,1,1060,33,33,3,3,36,
23439,,,5,1250,66,66,4,4,70,
23440,,,1,535,,,,,0,
23441,,,6,4300,41,41,5,5,46,
23442,,,2,140,77,77,21,21,98,
23443,,,3,941,23,23,12,12,35,
23444,,,1,1,4,4,1,1,5,
23445,,,1,2500,5,5,,,5,
23446,,,2,907.5,10,10,3,3,13,
23447,,,1,15,1,1,,,1,
23448,,,19,1916.93,1,1,5,5,6,
23449,,,2,98604,,,,,0,
23450,,,1,16,10,10,3,3,13,
23451,,,1,799,7,7,2,2,9,
23452,,,1,1500,,,3,3,3,
23453,,,1,5950,,,,,0,
23454,,,2,2190,11,11,8,8,19,
23455,,,2,25091,1,1,,,1,
23456,,,3,1621,7,7,2,2,9,
23457,,,4,105015,,,,,0,
23458,,,4,4325.7,12,12,,,12,
23459,,,1,24,10,10,4,4,14,
23460,,,1,344,7,7,1,1,8,
23461,,,1,50,28,28,8,8,36,
23462,,,1,1,15,15,2,2,17,
23463,,,4,2037,21,21,6,6,27,
23464,,,2,276,57,57,6,6,63,
23465,,,2,66,45,45,6,6,51,
23466,,,2,800,128,128,25,25,153,
23467,,,2,100,7,7,5,5,12,
23468,,,1,494,14,14,2,2,16,
23469,,,1,622,17,17,2,2,19,
23470,,,1,500,58,58,39,39,97,
23471,,,1,0,,,,,0,
23472,,,2,140.56,29,29,4,4,33,
23473,,,1,750,,,,,0,
23474,,,3,702.5,15,15,2,2,17,
23475,,,1,490,,,,,0,
23476,,,2,26.25,6,6,3,3,9,
23477,,,8,216342.51,19,19,5,5,24,
23478,,,4,6432.55,4,4,,,4,
23479,,,1,70,,,,,0,
23480,,,1,1130,6,6,3,3,9,
23481,,,2,2144,19,19,2,2,21,
23482,,,1,140,3,3,1,1,4,
23483,,,1,490,68,68,15,15,83,
23484,,,1,800,7,7,,,7,
23485,,,2,5576.25,14,14,4,4,18,
23486,,,1,2737,,,1,1,1,
23487,,,1,262,2,2,2,2,4,
23488,,,9,22443.75,77,77,24,24,101,
23489,,,1,100,,,,,0,
23490,,,1,33,8,8,13,13,21,
23491,,,1,17,7,7,1,1,8,
23492,,,1,585,,,,,0,
23493,,,2,884,12,12,4,4,16,
23494,,,1,9969,,,,,0,
23495,,,1,289,9,9,,,9,
23496,,,2,1550,17,17,4,4,21,
23497,,,1,942,1,1,,,1,
23498,,,2,40319,,,,,0,
23499,,,1,1,,,,,0,
23500,,,1,345,22,22,4,4,26,
23501,,,5,9525.1,2,2,2,2,4,
23502,,,1,1498,,,4,4,4,
